index,x,y,z,length,width,height
1,0,0,0,681,683,793
2,0,683,0,391,285,446
3,391,691,0,339,294,494
4,681,0,0,475,691,720
5,730,691,0,345,278,469
6,1075,691,0,114,178,298
7,1075,869,0,96,115,274
8,1075,869,274,116,120,176
9,1075,691,298,119,164,167
10,0,683,446,360,299,337
11,730,691,469,469,254,240
12,360,683,494,275,301,213
13,1073,789,709,115,179,222
14,682,0,720,439,594,719
15,682,594,720,391,399,437
16,1073,594,720,117,195,296
17,1121,0,720,73,200,208
18,1121,200,720,74,101,108
19,1121,312,720,61,113,296
20,1121,425,720,71,120,139
21,0,0,793,682,671,688
22,0,671,793,373,311,479
23,373,671,793,281,300,481
24,1121,0,928,70,168,238
25,1121,191,928,75,121,259
26,1073,789,931,119,188,191
27,1073,594,1016,116,123,129
28,1121,312,1016,66,125,163
29,682,594,1157,364,400,307
30,1046,594,1157,153,189,300
31,1046,783,1157,143,175,291
32,1121,0,1166,63,191,232
33,1121,191,1187,65,114,265
34,1121,305,1187,58,166,191
35,0,672,1272,351,321,448
36,351,671,1274,246,145,189
37,351,816,1274,244,142,156
38,597,671,1274,84,127,166
39,1091,711,1457,103,199,230
40,351,711,1464,395,231,471
41,746,711,1464,345,232,495
42,0,0,1481,644,672,424
43,644,0,1481,508,711,487
44,1091,711,1687,102,114,287
45,1091,825,1687,102,138,236
46,0,672,1720,312,316,225
47,0,0,1905,167,212,83
48,167,0,1905,110,276,83
49,277,0,1905,250,81,84
50,277,81,1905,127,141,89
container,,,,1200, 1000, 2000
