index,x,y,z,length,width,height
1,0,0,0,607,769,776
2,0,769,0,326,228,379
3,326,769,0,278,225,429
4,607,0,0,577,684,721
5,607,684,0,338,301,494
6,945,684,0,223,304,451
7,0,769,379,272,218,391
8,272,769,429,281,201,319
9,1003,733,451,174,197,286
10,607,733,494,396,265,443
11,691,0,721,422,733,749
12,1113,0,721,62,184,294
13,1113,184,721,78,142,214
14,1113,326,721,80,144,180
15,1003,733,737,187,266,114
16,0,0,776,691,688,749
17,0,688,776,341,298,490
18,341,688,776,164,285,147
19,505,688,776,96,125,158
20,1096,733,851,97,166,231
21,1113,363,901,81,87,177
22,1113,184,935,50,179,264
23,341,733,937,367,263,479
24,708,733,937,388,237,437
25,1113,0,1015,85,172,200
26,1096,733,1082,96,184,186
27,1113,292,1199,68,112,164
28,1113,0,1215,85,136,250
29,1123,168,1215,69,124,299
30,0,765,1266,332,219,422
31,1123,400,1363,60,111,153
32,958,768,1374,177,190,247
33,332,768,1416,326,206,453
34,658,768,1416,300,219,451
35,1123,0,1465,66,168,251
36,1123,259,1514,50,141,254
37,0,0,1525,579,765,457
38,579,0,1525,544,768,423
39,958,768,1621,168,169,258
40,0,765,1688,166,199,277
41,166,765,1688,139,183,291
42,1123,0,1716,74,119,273
43,1123,119,1716,62,140,276
44,1123,259,1768,55,152,180
45,305,768,1869,285,185,106
46,590,768,1869,196,222,127
47,786,768,1879,189,208,115
48,975,768,1879,166,209,112
container,,,,1200, 1000, 2000
