index,x,y,z,length,width,height
1,0,0,0,642,710,771
2,0,710,0,362,282,482
3,362,710,0,244,280,404
4,642,0,0,517,699,751
5,642,699,0,399,274,477
6,1041,699,0,145,179,252
7,1041,878,0,129,117,181
8,1041,879,181,127,111,179
9,1041,699,252,145,180,214
10,1041,879,360,136,105,111
11,362,710,404,278,282,315
12,642,699,477,362,296,233
13,1004,699,477,165,191,237
14,1004,890,477,175,102,224
15,0,710,482,326,201,266
16,0,911,482,186,77,241
17,186,911,482,126,76,279
18,521,756,719,106,179,293
19,642,688,751,353,311,498
20,684,0,751,497,688,761
21,995,688,751,200,287,318
22,0,0,771,684,591,784
23,0,591,771,521,401,607
24,521,591,771,120,165,283
25,521,756,1012,119,197,225
26,521,591,1054,119,89,282
27,521,680,1054,120,55,172
28,995,688,1069,173,292,109
29,521,688,1249,367,299,259
30,888,688,1249,300,309,215
31,521,591,1336,120,89,195
32,0,591,1378,271,126,171
33,0,780,1378,489,201,385
34,271,591,1378,245,128,167
35,965,925,1464,85,72,170
36,1050,925,1464,78,69,162
37,588,780,1508,77,135,224
38,588,925,1508,183,66,297
39,771,925,1508,194,58,234
40,668,601,1512,480,324,390
41,0,0,1555,668,780,426
42,668,0,1555,517,601,421
43,1081,925,1626,112,64,117
44,588,780,1732,73,130,236
45,771,925,1742,154,55,244
46,925,925,1742,156,63,209
47,1081,925,1743,53,57,222
48,0,780,1763,311,208,221
49,311,780,1763,126,190,233
50,437,780,1763,151,153,229
51,588,925,1805,121,64,141
52,661,867,1902,299,56,95
53,668,601,1902,100,266,82
54,768,601,1902,275,78,89
55,768,679,1902,113,142,82
56,1043,601,1902,141,147,86
container,,,,1200, 1000, 2000
