index,x,y,z,length,width,height
1,0,0,0,607,697,793
2,0,697,0,396,232,488
3,0,929,0,148,54,261
4,148,929,0,115,65,264
5,263,929,0,103,59,218
6,396,697,0,155,192,228
7,396,889,0,160,102,239
8,551,697,0,55,183,184
9,556,880,0,50,99,205
10,607,0,0,587,598,776
11,607,598,0,382,394,437
12,989,598,0,208,373,474
13,396,697,228,168,181,222
14,396,878,239,107,109,209
15,503,878,239,97,111,162
16,1,929,264,231,55,153
17,232,929,264,149,58,162
18,607,641,437,380,351,451
19,483,892,448,123,103,169
20,483,697,450,114,195,237
21,987,598,474,175,194,246
22,987,792,474,136,184,222
23,1123,792,474,75,125,174
24,1123,917,474,64,71,179
25,0,697,488,483,257,299
26,483,697,687,109,229,82
27,987,792,696,203,142,179
28,987,934,696,145,54,152
29,644,0,776,520,641,700
30,0,0,793,644,623,794
31,0,623,793,389,330,476
32,389,623,793,138,299,89
33,389,641,888,387,341,443
34,776,641,888,392,341,395
35,0,623,1269,79,223,52
36,849,677,1283,334,304,404
37,0,652,1331,452,326,343
38,452,677,1331,397,307,398
39,644,0,1476,529,677,477
40,0,0,1587,641,652,402
41,0,652,1674,445,335,251
42,938,677,1687,179,195,221
43,938,872,1687,148,100,270
44,1086,872,1687,93,108,250
45,1117,677,1687,69,188,209
46,445,677,1729,493,278,256
47,938,677,1908,225,144,82
48,0,652,1925,83,288,74
49,83,652,1925,291,65,74
50,83,717,1925,140,144,69
container,,,,1200, 1000, 2000
