index,x,y,z,length,width,height
1,0,0,0,620,689,784
2,0,689,0,374,301,451
3,374,689,0,242,306,391
4,620,0,0,510,602,772
5,620,602,0,334,350,441
6,954,602,0,227,379,392
7,1130,0,0,50,175,249
8,1130,175,0,61,123,146
9,1130,202,146,51,104,196
10,1130,0,249,51,184,193
11,1130,202,342,58,77,224
12,1130,279,342,66,229,229
13,489,689,391,126,128,186
14,489,817,391,120,136,159
15,1094,602,392,71,147,262
16,1094,749,392,74,128,203
17,1094,877,392,94,108,175
18,620,602,441,474,344,314
19,1130,0,442,57,116,251
20,1130,116,442,66,86,240
21,0,689,451,489,305,312
22,489,830,550,125,134,144
23,489,689,577,125,141,167
24,1094,749,595,99,118,146
25,1094,867,595,92,113,148
26,653,714,755,375,281,408
27,1028,714,755,154,175,286
28,1028,889,755,70,82,185
29,659,0,772,420,714,772
30,1079,0,772,107,176,290
31,1079,176,772,99,165,255
32,1079,341,772,111,156,173
33,1079,497,772,109,152,167
34,0,0,784,659,625,685
35,0,625,784,378,355,384
36,378,625,784,275,341,496
37,1079,459,945,75,183,207
38,1079,197,1027,114,159,171
39,1080,732,1041,79,174,176
40,1079,0,1062,108,197,243
41,1079,459,1152,95,111,266
42,1080,570,1152,83,162,200
43,653,714,1163,427,268,369
44,0,625,1168,128,71,161
45,1079,316,1198,111,143,190
46,1080,857,1217,108,116,169
47,0,698,1280,397,284,405
48,397,698,1280,191,199,250
49,1079,0,1305,114,167,208
50,1079,167,1305,91,149,236
51,1080,570,1352,89,155,184
52,1080,725,1352,117,132,160
53,1079,316,1388,107,115,152
54,0,0,1469,634,698,478
55,397,778,1532,323,218,432
56,720,778,1532,330,217,393
57,1050,778,1532,141,192,206
58,634,0,1544,520,778,442
59,0,698,1685,392,301,314
60,1050,778,1738,145,153,241
container,,,,1200, 1000, 2000
