index,x,y,z,length,width,height
1,0,0,0,610,722,798
2,0,722,0,390,258,488
3,390,722,0,201,218,412
4,390,940,0,192,51,300
5,610,0,0,546,639,650
6,610,639,0,393,345,432
7,1003,639,0,167,182,277
8,1003,821,0,192,129,236
9,1047,639,277,141,156,211
10,1047,795,277,130,178,195
11,390,940,300,104,51,170
12,496,722,412,88,177,255
13,496,899,412,103,87,229
14,610,639,432,437,351,212
15,1047,795,472,142,164,178
16,0,722,488,496,261,288
17,1047,639,488,124,152,157
18,610,0,650,63,93,121
19,676,0,650,509,563,785
20,676,563,650,420,434,721
21,1096,563,650,101,200,284
22,1096,763,650,97,119,246
23,1096,882,650,97,106,274
24,496,722,667,144,69,125
25,0,0,798,676,661,771
26,0,661,798,313,321,495
27,313,661,798,363,327,417
28,1096,563,934,75,199,267
29,1096,762,934,100,181,184
30,1096,762,1118,97,144,207
31,1096,906,1118,93,94,189
32,1096,563,1201,103,127,129
33,1096,690,1201,82,57,167
34,384,666,1215,275,326,434
35,0,666,1293,384,314,385
36,676,563,1371,266,58,60
37,676,645,1371,348,350,475
38,1024,645,1371,168,177,264
39,1024,822,1371,137,153,187
40,676,0,1435,504,645,459
41,0,0,1569,636,666,418
42,1024,645,1635,163,171,270
43,1024,816,1635,128,182,243
44,491,666,1649,140,178,275
45,491,844,1649,160,114,196
46,0,666,1678,491,326,236
47,491,869,1846,288,70,121
48,631,782,1846,221,87,134
49,636,645,1846,175,137,147
50,779,869,1846,226,78,132
51,852,645,1846,126,140,142
52,852,785,1846,164,55,149
53,636,0,1894,159,294,58
54,636,374,1894,173,194,63
55,636,580,1894,294,55,57
56,795,0,1894,169,176,89
57,795,176,1894,154,198,77
58,809,374,1894,136,149,104
59,809,523,1894,264,57,96
60,949,186,1894,125,263,66
61,964,0,1894,183,186,74
62,1074,186,1894,107,194,93
63,1074,380,1894,121,187,65
container,,,,1200, 1000, 2000
