index,x,y,z,length,width,height
1,0,0,0,653,663,791
2,0,663,0,382,302,463
3,382,691,0,342,294,490
4,653,0,0,494,691,768
5,724,691,0,301,302,494
6,1025,691,0,126,198,288
7,1025,889,0,148,101,196
8,1147,0,0,52,156,186
9,1025,691,288,170,246,168
10,0,663,463,357,319,326
11,357,691,494,402,294,267
12,759,691,494,435,281,239
13,1041,826,733,114,159,293
14,620,943,761,140,56,269
15,653,645,768,388,298,489
16,703,0,768,457,645,794
17,1041,645,768,158,181,292
18,0,0,791,703,542,796
19,0,542,791,620,447,693
20,620,542,791,81,82,221
21,620,542,1012,70,98,163
22,1041,826,1026,153,154,198
23,1041,645,1060,150,180,187
24,620,542,1175,68,82,115
25,1087,645,1247,94,176,256
26,1087,821,1247,90,177,199
27,620,645,1257,467,338,258
28,0,542,1484,289,140,70
29,0,738,1484,466,260,357
30,289,542,1484,226,130,90
31,515,542,1484,88,198,85
32,1120,679,1503,71,185,250
33,466,797,1515,295,202,351
34,761,797,1515,86,172,289
35,866,679,1515,254,317,431
36,878,0,1562,306,356,396
37,878,356,1562,297,323,434
38,0,0,1587,516,738,403
39,516,0,1587,362,399,400
40,516,399,1587,350,398,401
41,1120,679,1753,69,162,220
42,1120,841,1753,71,146,211
43,761,797,1804,96,171,191
44,0,738,1841,194,199,157
45,194,738,1841,195,146,152
46,194,884,1841,180,101,137
47,389,797,1866,147,203,133
48,536,797,1866,149,195,132
49,685,797,1866,63,114,115
container,,,,1200, 1000, 2000
