index,x,y,z,length,width,height
1,0,0,0,616,630,792
2,0,630,0,385,332,440
3,385,630,0,97,196,278
4,385,826,0,86,162,285
5,482,630,0,134,102,272
6,486,742,0,367,236,494
7,616,0,0,542,742,762
8,853,742,0,342,231,493
9,486,630,272,114,107,297
10,385,630,278,87,149,159
11,385,779,285,89,99,129
12,385,878,285,76,87,151
13,0,630,440,486,325,332
14,934,742,493,120,173,240
15,934,915,493,54,60,236
16,1054,742,493,95,185,245
17,486,742,494,448,249,268
18,486,630,569,79,106,176
19,665,0,762,521,587,790
20,665,587,762,459,400,516
21,1124,587,762,74,141,215
22,1124,728,762,75,151,163
23,0,0,792,665,590,765
24,0,590,792,613,402,709
25,613,590,792,51,109,288
26,1124,738,925,71,137,183
27,1124,875,925,64,66,247
28,1124,587,977,65,151,192
29,613,590,1080,50,155,176
30,613,590,1256,52,110,157
31,665,587,1278,427,399,205
32,1092,587,1278,107,125,196
33,1092,712,1278,83,143,189
34,1092,855,1278,78,103,166
35,1052,587,1483,136,158,289
36,1052,745,1483,137,138,276
37,1052,883,1483,140,102,270
38,0,758,1501,495,213,399
39,495,758,1501,63,107,195
40,560,674,1501,492,300,345
41,1026,0,1552,173,189,298
42,1026,189,1552,168,198,242
43,1026,387,1552,118,200,276
44,1144,387,1552,50,183,276
45,0,0,1557,560,758,438
46,560,0,1557,466,674,428
47,495,758,1696,62,112,183
48,1052,769,1759,141,146,183
49,1052,587,1772,120,182,190
50,1026,189,1794,136,186,198
51,1026,375,1828,169,198,108
52,560,674,1846,162,286,83
53,722,674,1846,199,128,147
54,722,802,1846,211,161,101
55,921,674,1846,106,118,152
56,933,792,1846,86,105,134
57,1026,0,1850,156,147,148
58,0,758,1900,251,158,87
59,251,758,1900,295,118,92
60,251,876,1900,287,100,77
container,,,,1200, 1000, 2000
