index,x,y,z,length,width,height
1,0,0,0,686,694,749
2,0,694,0,349,271,443
3,349,694,0,311,256,486
4,686,0,0,446,607,676
5,686,607,0,379,387,437
6,1065,607,0,130,158,243
7,1065,765,0,119,130,164
8,1132,0,0,67,168,280
9,1132,168,0,66,131,240
10,1132,194,240,61,76,211
11,1065,607,243,131,154,172
12,1065,761,243,128,145,152
13,1132,0,280,61,194,200
14,1121,607,415,73,116,157
15,686,607,437,435,361,229
16,0,694,443,346,254,299
17,1132,241,451,62,77,120
18,1132,0,480,58,157,169
19,1132,157,480,62,84,149
20,346,694,486,297,302,225
21,1063,739,666,114,135,186
22,700,0,676,469,584,653
23,700,584,676,363,379,467
24,1063,584,676,135,155,261
25,0,0,749,700,674,707
26,0,674,749,316,321,484
27,316,674,749,351,272,457
28,1082,660,937,102,191,242
29,700,660,1143,382,306,460
30,1082,660,1179,104,170,225
31,323,765,1206,320,214,428
32,0,674,1233,73,83,163
33,0,765,1233,323,228,500
34,73,674,1233,85,88,111
35,700,0,1329,401,660,667
36,1101,0,1329,84,160,239
37,1101,162,1329,85,135,269
38,1101,297,1329,78,165,180
39,1101,462,1329,87,96,247
40,1101,558,1329,89,99,139
41,1082,660,1404,113,140,190
42,1082,800,1404,101,127,137
43,0,0,1456,644,765,524
44,644,0,1456,52,198,286
45,1101,558,1468,90,93,107
46,1101,334,1509,91,120,192
47,1101,0,1568,76,162,256
48,1101,495,1576,76,122,217
49,1101,162,1598,87,172,198
50,644,660,1603,346,339,396
51,990,660,1603,206,279,353
52,405,765,1634,149,195,200
53,554,765,1634,79,94,131
54,1101,342,1701,75,153,182
55,0,765,1733,405,220,256
56,644,0,1742,52,101,229
57,1101,495,1793,98,99,152
58,1101,162,1796,72,180,183
59,1101,0,1824,87,123,145
60,405,765,1834,181,216,141
61,1101,342,1883,86,98,108
container,,,,1200, 1000, 2000
