index,x,y,z,length,width,height
1,0,0,0,634,658,665
2,0,658,0,364,317,484
3,364,682,1,343,304,475
4,661,0,1,488,682,747
5,707,682,1,376,316,396
6,1083,682,1,107,167,293
7,1083,849,1,96,142,293
8,1106,682,294,62,166,184
9,1106,848,294,71,128,178
10,707,682,397,399,316,337
11,398,854,476,177,107,186
12,447,658,476,185,196,152
13,575,854,476,102,126,156
14,1106,682,478,64,147,186
15,1106,829,478,76,124,178
16,0,658,484,196,172,178
17,0,830,484,192,114,150
18,192,942,484,138,51,176
19,196,658,484,251,142,166
20,196,800,484,202,142,146
21,0,0,665,661,516,796
22,0,516,665,623,474,624
23,991,863,734,184,126,266
24,623,594,748,368,388,483
25,661,0,748,505,594,736
26,991,594,748,203,269,380
27,991,863,1000,146,122,222
28,991,649,1128,142,81,103
29,1034,594,1128,158,55,162
30,623,594,1231,120,63,214
31,743,594,1231,140,66,174
32,883,594,1231,151,55,186
33,911,680,1231,264,295,499
34,0,516,1289,296,140,153
35,0,698,1289,397,246,458
36,0,944,1289,100,51,238
37,296,516,1289,276,133,167
38,397,698,1289,174,195,272
39,397,893,1289,159,106,172
40,584,680,1289,327,318,491
41,1034,594,1290,95,79,170
42,0,0,1461,584,698,534
43,397,893,1461,153,106,160
44,584,0,1484,520,680,506
45,1104,0,1484,95,162,285
46,1104,162,1484,95,175,248
47,1104,337,1484,53,178,229
48,1104,515,1484,92,138,140
49,445,698,1561,120,190,223
50,445,891,1621,74,101,202
51,519,891,1621,58,95,239
52,1104,570,1624,70,94,238
53,1104,469,1713,79,101,241
54,1104,162,1732,83,162,267
55,1104,324,1732,86,145,248
56,0,698,1747,445,281,234
57,1104,0,1769,93,140,164
58,584,680,1780,269,302,216
59,853,680,1780,324,235,209
60,853,915,1780,259,57,87
61,445,698,1784,118,193,195
62,445,891,1823,63,102,170
63,1104,570,1862,60,101,134
container,,,,1200, 1000, 2000
