index,x,y,z,length,width,height
1,0,0,0,611,675,792
2,0,675,0,385,317,488
3,385,705,0,374,277,447
4,611,0,0,559,705,705
5,759,705,0,393,233,493
6,759,938,0,181,50,280
7,940,938,0,153,53,291
8,1093,938,0,83,59,261
9,399,949,447,155,51,288
10,0,675,488,399,325,291
11,399,705,493,414,244,210
12,813,705,493,242,179,180
13,813,884,493,246,97,157
14,1055,705,493,138,162,189
15,1059,867,493,139,112,140
16,399,675,703,149,274,71
17,675,0,705,494,582,800
18,675,582,705,490,400,600
19,0,0,792,675,636,750
20,0,636,792,385,342,478
21,385,636,792,261,321,458
22,461,636,1250,189,196,251
23,461,832,1250,172,154,232
24,0,636,1270,461,296,272
25,0,932,1270,130,66,194
26,130,932,1270,146,62,176
27,276,932,1270,161,53,164
28,643,933,1305,199,56,290
29,657,706,1305,397,227,479
30,675,582,1305,218,123,191
31,842,933,1305,157,55,294
32,893,582,1305,271,104,156
33,1054,706,1305,139,161,299
34,1054,867,1305,108,129,199
35,1054,867,1504,138,117,73
36,675,0,1505,506,706,474
37,0,0,1542,657,763,457
38,0,763,1542,344,236,457
39,344,763,1542,299,231,456
40,643,933,1595,158,51,161
41,1054,706,1604,112,156,295
42,1054,862,1604,99,135,293
43,643,855,1784,174,118,191
44,657,706,1784,231,149,153
45,817,891,1784,154,107,169
46,888,706,1784,147,185,191
47,971,891,1784,73,108,112
48,1035,706,1899,90,207,89
container,,,,1200, 1000, 2000
